id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_perkemahan,satuan,tahun
91,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1,UNIT,2017
92,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,UNIT,2017
93,32,JAWA BARAT,3213,KABUPATEN SUBANG,6,UNIT,2017
94,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3,UNIT,2017
95,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5,UNIT,2017
96,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2017
97,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3,UNIT,2017
98,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8,UNIT,2017
99,32,JAWA BARAT,3271,KOTA BOGOR,0,UNIT,2017
100,32,JAWA BARAT,3272,KOTA SUKABUMI,1,UNIT,2017
101,32,JAWA BARAT,3273,KOTA BANDUNG,0,UNIT,2017
102,32,JAWA BARAT,3274,KOTA CIREBON,1,UNIT,2017
103,32,JAWA BARAT,3275,KOTA BEKASI,1,UNIT,2017
104,32,JAWA BARAT,3276,KOTA DEPOK,0,UNIT,2017
105,32,JAWA BARAT,3277,KOTA CIMAHI,0,UNIT,2017
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,UNIT,2017
107,32,JAWA BARAT,3279,KOTA BANJAR,0,UNIT,2017
108,32,JAWA BARAT,3201,KABUPATEN BOGOR,1,UNIT,2018
109,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,UNIT,2018
110,32,JAWA BARAT,3203,KABUPATEN CIANJUR,25,UNIT,2018
111,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7,UNIT,2018
112,32,JAWA BARAT,3205,KABUPATEN GARUT,35,UNIT,2018
113,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1,UNIT,2018
114,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2,UNIT,2018
115,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20,UNIT,2018
116,32,JAWA BARAT,3209,KABUPATEN CIREBON,4,UNIT,2018
117,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6,UNIT,2018
118,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2018
119,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1,UNIT,2018
120,32,JAWA BARAT,3213,KABUPATEN SUBANG,6,UNIT,2018
121,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12,UNIT,2018
122,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5,UNIT,2018
123,32,JAWA BARAT,3216,KABUPATEN BEKASI,1,UNIT,2018
124,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7,UNIT,2018
125,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8,UNIT,2018
126,32,JAWA BARAT,3271,KOTA BOGOR,0,UNIT,2018
127,32,JAWA BARAT,3272,KOTA SUKABUMI,0,UNIT,2018
128,32,JAWA BARAT,3273,KOTA BANDUNG,0,UNIT,2018
129,32,JAWA BARAT,3274,KOTA CIREBON,1,UNIT,2018
130,32,JAWA BARAT,3275,KOTA BEKASI,0,UNIT,2018
131,32,JAWA BARAT,3276,KOTA DEPOK,0,UNIT,2018
132,32,JAWA BARAT,3277,KOTA CIMAHI,1,UNIT,2018
133,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,UNIT,2018
134,32,JAWA BARAT,3279,KOTA BANJAR,0,UNIT,2018
135,32,JAWA BARAT,3201,KABUPATEN BOGOR,1,UNIT,2019
136,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9,UNIT,2019
137,32,JAWA BARAT,3203,KABUPATEN CIANJUR,25,UNIT,2019
138,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7,UNIT,2019
139,32,JAWA BARAT,3205,KABUPATEN GARUT,50,UNIT,2019
140,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2,UNIT,2019
141,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2,UNIT,2019
142,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2019
143,32,JAWA BARAT,3209,KABUPATEN CIREBON,9,UNIT,2019
144,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6,UNIT,2019
145,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2019
146,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5,UNIT,2019
147,32,JAWA BARAT,3213,KABUPATEN SUBANG,5,UNIT,2019
148,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4,UNIT,2019
149,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7,UNIT,2019
150,32,JAWA BARAT,3216,KABUPATEN BEKASI,1,UNIT,2019
151,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8,UNIT,2019
152,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2,UNIT,2019
153,32,JAWA BARAT,3271,KOTA BOGOR,0,UNIT,2019
154,32,JAWA BARAT,3272,KOTA SUKABUMI,0,UNIT,2019
155,32,JAWA BARAT,3273,KOTA BANDUNG,0,UNIT,2019
156,32,JAWA BARAT,3274,KOTA CIREBON,1,UNIT,2019
157,32,JAWA BARAT,3275,KOTA BEKASI,0,UNIT,2019
158,32,JAWA BARAT,3276,KOTA DEPOK,0,UNIT,2019
159,32,JAWA BARAT,3277,KOTA CIMAHI,1,UNIT,2019
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,UNIT,2019
161,32,JAWA BARAT,3279,KOTA BANJAR,0,UNIT,2019
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,1,UNIT,2020
163,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,9,UNIT,2020
164,32,JAWA BARAT,3203,KABUPATEN CIANJUR,25,UNIT,2020
165,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7,UNIT,2020
166,32,JAWA BARAT,3205,KABUPATEN GARUT,35,UNIT,2020
167,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2,UNIT,2020
168,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,UNIT,2020
169,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,23,UNIT,2020
170,32,JAWA BARAT,3209,KABUPATEN CIREBON,7,UNIT,2020
171,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,6,UNIT,2020
172,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,6,UNIT,2020
173,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5,UNIT,2020
174,32,JAWA BARAT,3213,KABUPATEN SUBANG,6,UNIT,2020
175,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,4,UNIT,2020
176,32,JAWA BARAT,3215,KABUPATEN KARAWANG,7,UNIT,2020
177,32,JAWA BARAT,3216,KABUPATEN BEKASI,0,UNIT,2020
178,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8,UNIT,2020
179,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,9,UNIT,2020
180,32,JAWA BARAT,3271,KOTA BOGOR,0,UNIT,2020
181,32,JAWA BARAT,3272,KOTA SUKABUMI,2,UNIT,2020
182,32,JAWA BARAT,3273,KOTA BANDUNG,0,UNIT,2020
183,32,JAWA BARAT,3274,KOTA CIREBON,1,UNIT,2020
184,32,JAWA BARAT,3275,KOTA BEKASI,0,UNIT,2020
185,32,JAWA BARAT,3276,KOTA DEPOK,0,UNIT,2020
186,32,JAWA BARAT,3277,KOTA CIMAHI,1,UNIT,2020
187,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,UNIT,2020
188,32,JAWA BARAT,3279,KOTA BANJAR,0,UNIT,2020
